Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3308;Erythromycin-R115;;909.493244;910.501069;908.485419;;;
3309;Erythromycin-R116;;895.477244;896.485069;894.469419;;;
3310;Erythromycin-R117;;894.476244;895.484069;893.468419;;;
3311;Erythromycin-R118;;813.427644;814.435469;812.419819;;;
3312;Erythromycin-R119;;791.466744;792.474569;790.458919;;;
3313;Erythromycin-R120;;783.461644;784.469469;782.453819;;;
3314;Erythromycin-R121;;1040.545244;1041.553069;1039.537419;;;
3315;Erythromycin-R122;;779.466744;780.474569;778.458919;;;
3316;Erythromycin-R123;;779.430344;780.438169;778.422519;;;
3317;Erythromycin-R124;;763.471844;764.479669;762.464019;;;
3318;Erythromycin-R125;;751.471844;752.479669;750.464019;;;
3319;Erythromycin-R126;;737.492544;738.500369;736.484719;;;
3320;Erythromycin-R127;;735.440544;736.448369;734.432719;;;
3321;Erythromycin-R128;;734.445244;735.453069;733.437419;;;
3322;Erythromycin-R129;;733.424844;734.432669;732.417019;;;
3323;Erythromycin-R130;;731.445544;732.453369;730.437719;;;
